variant,expose_id,precision,recall,f1
full_model,10_Expose 2_AnmerkungenAW,0.6344,0.5863,0.6094
full_model,12_Exposé Bachelorarbeit_AnmAW,0.6326,0.5874,0.6092
full_model,13_Expose BachelorarbeitAnmAw,0.5944,0.5799,0.5870
full_model,13_Expose Bachelorarbeit_Version_2_AnmAW,0.6173,0.5767,0.5963
full_model,14_Exposé Bachelorarbeit_Stand070120_AnmAW,0.6443,0.6132,0.6283
full_model,14_Exposé Bachelorarbeit_Stand210120_AnmAW,0.5443,0.5801,0.5617
full_model,15_Exposé Bachelorarbeit_Version1_AnmAW,0.6221,0.5604,0.5896
full_model,17_Exposé Bachelorthesis V02- AnmAW,0.6398,0.6016,0.6201
full_model,17_Exposé Bachelorthesis V03 - AnmAW,0.6084,0.5869,0.5974
full_model,19_Exposé Bachelorthesis_Version2_anmAW,0.5787,0.6083,0.5931
full_model,19_Exposé Bachelorthesis_Version3_anmAW,0.6033,0.5789,0.5909
full_model,1_2.Exposé_Bachelorthesis_AnmAW,0.6397,0.6024,0.6205
full_model,20_TK_Exposé BachelorthesisV03_AnmAW,0.6248,0.6031,0.6137
full_model,21_Exposé Thesis_AnmAW,0.6306,0.5990,0.6144
full_model,21_Exposé Thesis_alt_AnmAW,0.6050,0.5758,0.5901
full_model,22_Exposé_AnmAW,0.6106,0.5918,0.6010
full_model,22_Exposé_AnmAW - Kopie,0.6309,0.6041,0.6172
full_model,23_Expose_BA_v1_AnmAW,0.6170,0.5659,0.5903
full_model,23_TK_Expose_BA_v2_AnmAW,0.6367,0.5813,0.6077
full_model,24_Exposé_Bachelorarbeit_bearbeitet_AnmAW,0.6326,0.5953,0.6134
full_model,25_Exposé_Bachelorarbeit_AnmAW,0.6650,0.6103,0.6365
full_model,26_Exposé_Bachelorarbeit_anmAW,0.6435,0.5797,0.6099
full_model,27_Exposé_Bachelorthesis_AnmAW,0.6165,0.5723,0.5936
full_model,28_Exposé_AnmAW,0.6526,0.5972,0.6237
full_model,28_Exposé_v2_AnmerkungenAW,0.6427,0.5930,0.6168
full_model,29_Expose_202011_05_AnmAW,0.6215,0.5810,0.6006
full_model,29_Exposé_20201025_AnmAW,0.6326,0.5597,0.5939
full_model,2_2023_07_23_Kurzexpose_Bachelorarbeit_AW,0.5533,0.6021,0.5767
full_model,30_Exposé_2.Version_AnmAW,0.6326,0.5751,0.6025
full_model,30_Exposé_AnmAW,0.6137,0.5578,0.5845
full_model,31_Expose_AnmAW,0.5848,0.6325,0.6077
full_model,32_Expose_AnmAW,0.6428,0.6018,0.6216
full_model,32_Expose_V2_AnmAW,0.6508,0.5937,0.6209
full_model,33_Exposé_v1 _AnmAW,0.6326,0.5795,0.6049
full_model,34_Exposé_Sommersemester2020_V1_AnmAW,0.5813,0.6173,0.5988
full_model,34_Exposé_V4_AnmAW,0.6515,0.6194,0.6350
full_model,35_Expose_AW,0.6586,0.6158,0.6365
full_model,35_Expose_Thesis2-AnmAW,0.5467,0.5746,0.5603
full_model,35_Expose_Thesis_AnmAW,0.6214,0.5739,0.5967
full_model,36_Exposé_Thesis_v3-1_AnmAW,0.6217,0.6192,0.6204
full_model,36_Exposé_Thesis_v3_AnmAW,0.6206,0.5991,0.6096
full_model,37_Exposé_v2_AW,0.6512,0.6239,0.6373
full_model,38_Exposé1_anmAW,0.6317,0.5872,0.6087
